,id,text,sentiment_text
0,8328597642,I am so happy to hear that! Glad to see you doing your thing!,I am so happy to hear that Glad to see you doing your thing
1,8328897645,have a good week ahead too baby girl!!!,have a good week ahead too baby girl
2,8329297649,I was totally bummed I could not' swim today,I was totally bummed I could not swim today
3,8328997646,yeah lol that is what I meant . . .that is too bad,yeah lol that is what I meant .that is too bad
4,8329397650,DEAD!uhmm...that is pretty much been established already,DEADuhmm.that is pretty much been established already
5,8328497641,"Mhm, it will be much fun  Setlist is Mecca, Resentment Towards Concrete, CFT, and a new unnamed instrumental we JUST MADE!! LOL",Mhm it will be much fun Setlist is Mecca Resentment Towards Concrete CFT and a new unnamed instrumental we JUST MADE LOL
6,8328797644,where are you cici?    aaaaa come heeere,where are you ci aa come heere
7,8329197648,oh no,oh no
8,8328697643,...ure too excited. Ppl are entitled to their own opinion chii jgn dikatain blind  like how I dislike startrek. Nite.,.ure too excited. Ppl are entitled to their own opinion chii jgn dikatain blind like how I dislike startrek. Nite.
9,8329097647,hey snuckums!!!! SOoooooo I will not be going to Cali in August,hey snuckums SOoo I will not be going to Cali in August
