,id,text,sentiment_text
0,6042974786, what funeral?, what funeral
1,6043374790,"Dude, do not do this to me. If you do this, be prepared to deal with the consequences!",Dude do not do this to me. If you do this be prepared to deal with the consequences
2,6042774784,hahaha i want foood tooo,ha i want food too
3,6042574782,"Working, but wising I was cycling",Working but wising I was cycling
4,6043074787,i will come take one with you. Haha you txt twitter before you let your own boyfriend know,i will come take one with you. Haha you txt twitter before you let your own boyfriend know
5,6042674783,Aha Buffy! But my Buffoire collection is still in London  Boohoo,Aha Buffy But my Buffoire collection is still in London Boohoo
6,6042474781,i wanted to see that with you guys  can we watch i love you man on dvd together?x,i wanted to see that with you guys can we watch i love you man on dvd togetherx
7,6042874785,do not bully me because im small,do not bully me because im small
8,6043274789,Not even... oh...,Not even. oh.
9,6043174788,lol i need to get into it and advertise my twitter!!.. i cannot get the hang of it  xx,lol i need to get into it and advertise my twitter. i cannot get the hang of it xx
