,id,text,sentiment_text
0,1061524972,#iranelection i like Moussavi because i can pronounce his name. i hope things get worked out over there. no more death.,i like Moussavi because i can pronounce his name. i hope things get worked out over there. no more death.
1,1062324980,"#iranelection The ""yellow Press"" is alive and well in the 21st century, how quickly we forget the USS Maine",The yellow Press is alive and well in the st century how quickly we forget the USS Maine
2,1061924976,"#iranelection no news from my father. Not sure if my brother, he or my my unlce are alive  Lines are jammed still. Will update when I can.",no news from my father. Not sure if my brother he or my unlce are alive Lines are jammed still. Will update when I can.
3,1062224979,#IranElection Tehran Mousavi #iremember Lakers True Blood Kobe AT&T iPhone,Tehran Mousavi Lakers True Blood Kobe ATT iPhone
4,1062024977,#iranelection -people are just tired of getting sttepped on.You cannot do this! You cannot do that! Do what I tell you do! Folks are tired,people are just tired of getting sttepped on.You cannot do this You cannot do that Do what I tell you do Folks are tired
5,1061424971,"#iranelection Graphic, horrifying, tragic, but this is reality. Iran needs OUR help, world. http://bit.ly/BguyU",Graphic horrifying tragic but this reality. Iran needs OUR help world. 
6,1061724974,"#iranelection infidel here,one last time. Khamenei, baby,call me, its beeeeeen ages. YOU never answer my texts or tweets? is it over?",infidel hereone last time. Khamenei babycall me its been ages. YOU never answer my texts or tweets it over
7,1062124978,#iranelection so confusing.... do not know what is really happening!! alot of conflicting reports  hope all is well...,so confusing. do not know what is really happening alot of conflicting reports hope all is well.
8,1061624973,#iranelection If I see that mans gaping bum again I am going to be sick!,If I see that mans gaping bum again I am going to be sick
9,1061824975,#iranelection is now blocked in Iran,is now blocked in Iran
