,id,text,sentiment_text
0,135952150309,quem pe essaa  finge que A(c) interrgoASSao ),quem pe essaa finge que Ac interrgoASSao 
1,135953150310,stpllelling gets really bad at night. see I am not even trying to spell swrong but it keeps happenigns. see?,stpllelling gets really bad at night. see I am not even trying to spell swrong but it keeps happenigns. see
2,135946150303,"Well, good day to you!",Well good day to you
3,135944150301,very blue... wow.,very blue. wow.
4,135947150304,we are depending on that  Have fun!!,we are depending on that Have fun
5,135945150302,We LOVE to see the band in action - keep it coming!,We LOVE to see the band in action keep it coming
6,135951150308,you missed something! Its a wonderfull movie!,you missed something Its a wonderfull movie
7,135950150307, I LOVE IT! Thank you! You guys seriously kick trash!! No other group would be so awesome! we are so lucky!  Andrea, I LOVE IT Thank you You guys seriously kick trash No other group would be so awesome we are so lucky Andrea
8,135949150306,"yay!  I was right, do I win a prize?",yay I was right do I win a prize
9,135948150305,woo hoo!  Glad you made it safely- food is important - enjoy your dinner.,woo hoo Glad you made it safely food is important enjoy your dinner.
