,id,text,sentiment_text
0,171009185366,"I do not think cold showers do either, but I think I will take a hot shower just based on principle",I do not think cold showers do either but I think I will take a hot shower just based on principle
1,171011185368,": AE!, maoY=t tour guide xa>> >""i  A?ang A'a>> >? caou dao >-- :p  chao-c va>> > >?i thA'i, no prob. CA3 gA! sao 1/2  ha>>?i thAam caou", AE maoYt tour guide xa i Aang Aa caou dao p chaoc va i thAi no prob. CA3 gA sao hai thAam caou
2,171010185367,- maybe get a pLace/apartment in Makati to avoid waking up earLy or the traffic, maybe get a pLaceapartment in Makati to avoid waking up earLy or the traffic
3,171004185361,chillin promoting muzik...not eating  lmaao,chillin promoting muzik.not eating lmaao
4,171013185370,ti? 1/2 i nh? L?i L?i g?i h?i ??n x? li? 1/2  anh thi? 1/2  anh ??ng ci? 1/2  tri? 1/2 ch,ti nh Li gi hi n x li anh thi anh ng ci tri ch
5,171005185362,1  i dropped 420 points that mess was so borinq i kept falling asleep lol .,1 i dropped points that mess was so borinq i kept falling asleep lol .
6,171007185364,"suny here, but its too cold yet  sofa too comfy lol",suny here but its too cold yet sofa too comfy lol
7,171006185363,Hooray for the weekend being sunny,Hooray for the weekend being sunny
8,171008185365, Well done!, Well done
9,171012185369,anh c? thi? 1/2 m ?i  bao gi? tri? 1/2 i ??t h?t gi? 1/2 i mi? 1/2  anh l?i bi?n thi? 1/2 nh gi? 1/2 i thi? 1/2  li? 1/2 c ??y ti? 1/2 i m?i xem xi? 1/2 t ???c,anh c thi m i bao gi tri t ht gi mi anh li bin thi nh gi thi li c y ti mi xem xi t c
