,id,text,sentiment_text
0,317417542,"now that i kno is a lie, whateva :'(",now that i kno is a lie whateva 
1,318217550,Off from work and no wifey...,Off from work and no wifey.
2,317617544,nuggets out....,nuggets out.
3,317917547,o seara perfekta: vodka & bertolucci (the dreamers),o seara perfekta vodka bertolucci the dreamers
4,318117549,"Of all the things I lost, I miss my Community Organizer degree the most.",Of all the things I lost I miss my Community Organizer degree the most.
5,317517543,nuffin more eckkky that i cannot take beside being disrespect is :O being ignore...blahhhhhhh,nuffin more eckky that i cannot take beside being disrespect is O being ignore.blahh
6,317317541,"- Now my ex-daycare clients claim that I owe them over $400 and are going to take things to the ""next step"".", Now my exdaycare clients claim that I owe them over and are going to take things to the next step.
7,317817546,nvm not double didgets someone on my followers was bad so i had to block them  sorry person,nvm not double didgets someone on my followers was bad so i had to block them sorry person
8,318017548,odd i tried to call mitchel musso but it dosent work....,odd i tried to call mitchel musso but it dosent work.
9,317717545,Nuu supa stop that its not good fer your health,Nuu supa stop that its not good fer your health
