,id,text,sentiment_text
0,112133126490,"I got  them! I would really like something with Jared/Sam's face, tho, i do not have hardly anything with just him",I got them I would really like something with JaredSam face tho i do not have hardly anything with just him
1,112124126481,i get id would everywhere. Lol. And thanks for the get well wishes.,i get id would everywhere. Lol. And thanks for the get well wishes.
2,112128126485,Hey hey what you up to miss? You did not even holla me bk on here last night  lool. You nice tho?,Hey hey what you up to miss You did not even holla me bk on here last night lool. You nice tho
3,112130126487,the mixmag ting is going to look showski wowski!,the mixmag ting is going to look showski wowski
4,112126126483,Java Dave's Hazelnut Truffle w/xtra espresso shot + Sonic bfast burrito are getting me going today. First coffee since Monday,Java Dave Hazelnut Truffle wxtra espresso shot Sonic bfast burrito are getting me going today. First coffee since Monday
5,112131126488, probably. Pregnancy really does make some people batshit crazy. I was a MEAAANNNN pregnant girl., probably. Pregnancy really does make some people batshit crazy. I was a MEAANN pregnant girl.
6,112125126482,What happened with you and Grant?,What happened with you and Grant
7,112127126484,aww why? and im wiv him but we are not doing much,aww why and im wiv him but we are not doing much
8,112129126486,thanks for the shout,thanks for the shout
9,112132126489,"Good night, Austin!",Good night Austin
