,id,text,sentiment_text
0,293192307549,Ugh. No fun,Ugh. No fun
1,293193307550,I was workin anyway,I was workin anyway
2,293187307544,"'Nite, girl. Just sleep knowing strangers luv ya. (Wait ... that sounds wrong). ""FRIENDS luv ya.""(Er..)   You know what we mean!",Nite girl. Just sleep knowing strangers luv ya. Wait . that sounds wrong. FRIENDS luv ya.Er. You know what we mean
3,293189307546,Thank you!,Thank you
4,293191307548, Good morning. And we are so proud of you  LOL, Good morning. And we are so proud of you LOL
5,293190307547, will miss your tweets, will miss your tweets
6,293186307543,nice concept! especially there. Freeze the wonderfulness of it all! IF only time could stand still..How are you today? 98 here today.,nice concept especially there. Freeze the wonderfulness of it all IF only time could stand still.How are you today here today.
7,293188307545,"oh those are so cool, i especially love the sound...hey i'm jealous now damnit..stuck in the flyover atm...waaahh..",oh those are so cool i especially love the sound.hey im jealous now damnit.stuck in the flyover atm.waahh.
8,293185307542,I feel the same way. Poor feller - everyone's allowed their quirks - I feel badly for him. And wish it had not ended like that. .,I feel the same way. Poor feller everyone allowed their quirks I feel badly for him. And wish it had not ended like that. .
9,293184307541,how is your brother holding up is he doing alright with the loss of his friend,how is your brother holding up is he doing alright with the loss of his friend
