,id,text,sentiment_text
0,136915151272,time to come home lol,time to come home lol
1,136921151278,So sad.    I feel your pain.  I have too many memories.,So sad. I feel your pain. I have too many memories.
2,136916151273,sucky!!! if you can take ur neices on the toy story ride in California Adventure. long lines but so fun! (its like astroblasters),sucky if you can take ur neices on the toy story ride in California Adventure. long lines but so fun its like astroblasters
3,136919151276,No problem.  You can tell that I am from NJ when I catch such mis-spellings.,No problem. You can tell that I am from NJ when I catch such misspellings.
4,136918151275,Yes indeed *hic*,Yes indeed hic
5,136914151271,"Yeah I did, it was really shocking. No tuna sandwich for lunch",Yeah I did it was really shocking. No tuna sandwich for lunch
6,136920151277,"yea, now you got all these stupid reality show... Ugh",yea now you got all these stupid reality show. Ugh
7,136922151279,FYI: http://tinyurl.com/qnp5bm displays in the first few results in google search for - Online Storage for Linux  great product!,FYI displays in the first few results in google search for Online Storage for Linux great product
8,136917151274,Andrew Lloyd-Webber IS the Toilet Duck !!,Andrew LloydWebber IS the Toilet Duck 
9,136923151280,The page you are looking for is temporarily unavailable. Please try again later.  *cry*,The page you are looking for is temporarily unavailable. Please try again later. cry
