,id,text,sentiment_text
0,200437214794,adventureland!!! where did you get it from ive bee trying to download it,adventureland where did you get it from ive bee trying to download it
1,200438214795,i do too,i do too
2,200435214792,thanks  I really wish it would be posted days before the first day.. at least we will have an idea as to who are classmates are!,thanks I really wish it would be posted days before the first day. at least we will have an idea as to who are classmates are
3,200440214797,haha fran you make me laugh,ha fran you make me laugh
4,200439214796,this is my favourite weather,this my favourite weather
5,200442214799,oh i would if i could. but this is my office laptop,oh i would if i could. but this my office laptop
6,200443214800,come now... Now!,come now. Now
7,200441214798,BECAUSE when you drink it right before bed it creates a problem! anyways! ill explain in another tweet,BECAUSE when you drink it right before bed it creates a problem anyways ill explain another tweet
8,200434214791,"heyyy chick, just packing up now!  see you at work tomorrow!!! xxx",heyy chick just packing up now see you at work tomorrow xx
9,200436214793,"Sorry, but I am laughing.  Only because I cannot figure out how to do it from my cell either.",Sorry but I am laughing. Only because I cannot figure out how to do it from my cell either.
