,id,text,sentiment_text
0,569989168903819264318955,seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you!,seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you
1,569990034444689408318952,#magazine feature: Desk Plants Increase Productivity by 15%. #LuvSWA #healthbenefitsofplants #gardening http://t.co/BVfAxDUBAQ,feature Desk Plants Increase Productivity by 
2,569987277734207488318960,"it is not fun having a delay from Nashville to Las Vegas, but the crew at the gate C9 desk has been AWESOME! #patience #luvswa",it is not fun having a delay from Nashville to Las Vegas but the crew at the gate C9 desk has been AWESOME 
3,569989007532142592318958,Travel agent Darrel here at Love Field hosting a paper airplane contest to entertain all the children was so awesome to see!,Travel agent Darrel here at Love Field hosting a paper airplane contest to entertain all the children was so awesome to see
4,569989340052344832318954,"prove it, Cuz the southwest people here do not even know why it is behind schedule.",prove it Cuz the southwest people here do not even know why it is behind schedule.
5,569989082719358976318956,you were bae until you lost both of my bags and had no clue where they were or what happened to them for 36 hours :/,you were bae until you lost both of my bags and had no clue where they were or what happened to them for hours 
6,569988842335244289318959,Big kudos to your staff today at Dallas Love Field for lifting everyone's spirits today with all the delays and Cancelled Flightlations,Big kudos to your staff today at Dallas Love Field for lifting everyone spirits today with all the delays and Cancelled Flightlations
7,569992825997279232318951,any deals to orlando in April/may??,any deals to orlando in Aprilmay
8,569989812637167617318953,New marketing song? https://t.co/F2LFULCbQ7 let us know what you think? http://t.co/iQnVyFPg4P,New marketing song let us know what you think 
9,569989039874404352318957,prove it,prove it
