,id,text,sentiment_text
0,5770672063,I know my comp is being really slow,I know my comp is being really slow
1,5770572062,bb you spent the money!?,bb you spent the money
2,5771372070,shushhhh OMG mum might be paing for some of my guitar  so i can get it sooonerrrr,shushh OMG mum might be paing for some of my guitar so i can get it soonerr
3,5771172068,i will not.  do i need anything inparticular?,i will not. do i need anything inparticular
4,5771072067,I knoww. He makes me giggle  i loves him,I knoww. He makes me giggle i loves him
5,5770472061,Poor Amy  Glad you had a good time at IOW though!,Poor Amy Glad you had a good time at IOW though
6,5770872065,"aw  ours start on thursday. thanks, good luck with yours too! bah i hate school!",aw ours start on thursday. thanks good luck with yours too bah i hate school
7,5771272069,ohh well im off to see & ... and your not,ohh well im off to see . and your not
8,5770972066,"I hope I can too, that is also why I am turning up early and chilling after the show",I hope I can too that is also why I am turning up early and chilling after the show
9,5770772064,great minds think alike,great minds think alike
