,id,text,sentiment_text
0,273495287852,"it is all in good fun, until I have to start locking my door at night....LOL",it is all in good fun until I have to start locking my door at night.LOL
1,273503287860,"I also saw you on American Idol great performance, I see you will be at Windsor in June 20 Commodores will not be there",I also saw you on American Idol great performance I see you will be at Windsor in June Commodores will not be there
2,273500287857, yeah a nice winding.. awful, yeah a nice winding. awful
3,273499287856,Noo! do not cut the hair!!!,Noo do not cut the hair
4,273501287858,"now i do  what do you want to know, how can i help?",now i do what do you want to know how can i help
5,273498287855,looks awesome. But no horizontal keyboard,looks awesome. But no horizontal keyboard
6,273496287853, *hugs*, hugs
7,273497287854,thanks.,thanks.
8,273494287851,I am a follower.  I follow people.,I am a follower. I follow people.
9,273502287859,"hello mr richie, i love your music, have been to your concert in luxembourg, ut was amazing  im a big fan of you",hello mr richie i love your music have been to your concert in luxembourg ut was amazing im a big fan of you
