,id,text,sentiment_text
0,215168229525,Nope!!!!!!!!!! tiz a football game....all the same,Nope tiz a football game.all the same
1,215169229526,Good Morning lovely Jayda.Nice to have you back,Good Morning lovely Jayda.Nice to have you back
2,215166229523,yes hes been missing since Friday night. Nobody has seen him,yes hes been missing since Friday night. Nobody has seen him
3,215171229528,"Bought THE tune man, LOVE IT",Bought THE tune man LOVE IT
4,215164229521,wake uppppp  i thought you said you were gunna b online at 11 :|,wake upp i thought you said you were gunna b online at 
5,215172229529,challenge you all going one on one??? Hmmm I gota take her side  haha ur @ home tonite ??,challenge you all going one one Hmm I gota take her side ha ur home tonite 
6,215165229522,I am sorry about the boot  At least it comes off though.,I am sorry about the boot At least it comes off though.
7,215173229530," Loving Ladies' Detective Agency. Jill Scott is great, but Anika Noni Rose is totally adorable. I give her a 97%.", Loving Ladies Detective Agency. Jill Scott is great but Anika Noni Rose is totally adorable. I give her a 
8,215170229527,I am going just fine thaks for asking  And how are you ?,I am going just fine thaks for asking And how are you 
9,215167229524,it is ok. I forgive you!,it is ok. I forgive you
