,id,text,sentiment_text
0,106801121158,I love you Danny !!! see you sooooooooooooooooooooooon OMG !! hehehe thanks to the life,I love you Danny see you soon OMG he thanks to the life
1,106795121152,"Hi Danny!  Listened to you&choir on YouTube singing ""Draw Nigh"".  Beautiful!  Hope you will make an album of Christian songs!",Hi Danny Listened to youchoir on YouTube sing Draw Nigh. Beautiful Hope you will make an album of Christian songs
2,106803121160,I wish I could be there  . LUV YA!!!,I wish I could be there . LUV YA
3,106800121157,I LOVE that you run a charity for cancer research. I run a charity for cancer patients: Henry's Angels. Lost my guy to cancer.,I LOVE that you run a charity for cancer research. I run a charity for cancer patients Henry Angels. Lost my guy to cancer.
4,106799121156,I love and appreciate you!!! Happy Sunday,I love and appreciate you Happy Sunday
5,106798121155,"I guessed right, like 25 minutes ago...do you even see your replies....lol",I guessed right like minutes ago.do you even see your replies.lol
6,106797121154,I am looking forward the summer tour!  got to go to Concord because you are not coming to Sactown again  but i will be where you are,I am looking forward the summer tour got to go to Concord because you are not coming to Sactown again but i will be where you are
7,106802121159,I love you guys but really I hate hearing FULL SERVICE all the I am bummed that I  cannot partake in the shows this summer  ..sorry,I love you guys but really I hate hearing FULL SERVICE all the I am bummed that I cannot partake in the shows this summer .sorry
8,106796121153,"How do you get up so early, let alone be ready for a work out???  I can barely do 645",How do you get up so early let alone be ready for a work out I can barely do 
9,106794121151,"hey! twitter messed up the folow request.. I unblocked so it will not mess up this time. haha so, follow me! hehe",hey twitter messed up the folow request. I unblocked so it will not mess up this time. ha so follow me he
