,id,text,sentiment_text
0,247091261448,"Really?   Wow you have one inspiring story though, i had no idea! I so want to hear more",Really Wow you have one inspiring story though i had no idea I so want to hear more
1,247092261449,I am on a diet! lol I am trying to lose 10 lbs. by June 1st for an upcoming event! I want to look supagud!,I am on a diet lol I am trying to lose lbs. by June 1st for an upcoming event I want to look supagud
2,247090261447,Lol damn horny kitty. I wish i was horny kitty  lol,Lol damn horny kitty. I wish i was horny kitty lol
3,247085261442,durian....      has an unique smell...,durian. has an unique smell.
4,247086261443,Absolutely!  great dayyy,Absolutely great dayy
5,247084261441,not me,not me
6,247089261446,Lol aww  im sorry to hear that,Lol aww im sorry to hear that
7,247087261444,Ahhhhhhhh get me a green card ((( I will work and earn lots of money and pay lots of taxes and vote vote vote,Ahh get me a green card I will work and earn lots of money and pay lots of taxes and vote
8,247093261450,"thanks!  Just visit your link...i dig ur coming soon page...cannot wait to see what ur site is going to look like,,,how is it going",thanks Just visit your link.i dig ur coming soon page.cannot wait to see what ur site is going to look likehow is it going
9,247088261445,Lol absolutely. Maybe i can finally land a guy seeing as ive never had a boyfriend lmao i probably just lost all my followers,Lol absolutely. Maybe i can finally land a guy seeing as ive never had a boyfriend lmao i probably just lost all my followers
