,id,text,sentiment_text
0,8049894855,*Gasp* You? I knew you were too good to be true,Gasp You I knew you were too good to be true
1,8049794854,"*fretful look* Okay. But I think it is mumbling something. it is a bit muffled under the hat but it sounds like ""I need Lactose"".",fretful look Okay. But I think it is mumbling something. it is a bit muffled under the hat but it sounds like I need Lactose.
2,8050194858,I am stumped.  Should rewatch the video! #fitfam #bluebox,I am stumped. Should rewatch the video 
3,8049694853,Yes! You do!,Yes You do
4,8050394860,mmhmnnn and you did not make any for me. Thanks  *grumbles*,mmhmnn and you did not make any for me. Thanks grumbles
5,8049594852,aww  get it when your mom comes back 8D,aww get it when your mom comes back 8D
6,8049494851,"Really?! Oh, OK then, just for you   http://twitpic.com/7gk5o",Really Oh OK then just for you 
7,8050094857,Dang - I was tweeting to the wrong account!,Dang I was tweeting to the wrong account
8,8050294859,"So confusing! I am using Twitter to get the questions, and will have two pages open to do this.   #fitfam #bluebox",So confusing I am using Twitter to get the questions and will have two pages open to do this. 
9,8049994856,Its okay i only got 8  grrr. haha,Its okay i only got grr. ha
