,id,text,sentiment_text
0,249214263571, Good luck with your paper.  it is awful doing anything with a migraine., Good luck with your paper. it is awful doing anything with a migraine.
1,249218263575,Nema problema! let us get the other sister on twitter.,Nema problema let us get the other sister on twitter.
2,249217263574,what,what
3,249219263576,for choosing to follow me,for choosing to follow me
4,249223263580,"its Nathan133 here, I reached the limit with 4 more tweets to go!",its Nathan here I reached the limit with more tweets to go
5,249221263578,"I am sorry hunny  if you need cheering up, text me. I will cheer you up! haha",I am sorry hunny if you need cheering up text me. I will cheer you up ha
6,249220263577,"it goes alrite, just been for a swim, must go to work later  have an interview next week. so life is not all that exciting, haha, you?",it goes alrite just been for a swim must go to work later have an interview next week. so life is not all that exciting ha you
7,249216263573,"Saw the pix you posted of Lexa's achievement... I love how your search says ""fanfi"" hehe,  Rock on!",Saw the pix you posted of Lexa achievement. I love how your search says fanfi he Rock on
8,249222263579,we had a line til 12:30am,we had a line til am
9,249215263572,Ah! This makes sense.  Thanks!  And thanks for the welcome dawg,Ah This makes sense. Thanks And thanks for the welcome dawg
