,id,text,sentiment_text
0,170114184471,So Jealous. Get me something nice Germs!!,So Jealous. Get me something nice Germs
1,170117184474,is not it past your bedtime,is not it past your bedtime
2,170116184473,haha am really tired because church camp just ended. and its only one & half weeks more to my exams!,ha am really tired because church camp just ended. and its only one half weeks more to my exams
3,170120184477,i've had the same error... was going to google myself up an answer this morn... thx for saving me the effort,ive had the same error. was going to google myself up answer this morn. thx for saving me the effort
4,170123184480,What do you mean 'equipped'? I am a red head...ish,What do you mean equipped I am a red head.ish
5,170119184476,"what is more, we get a slew of hideous adverts every 23 seconds.  The race is as much adverts as it is actual race. #^!&@ US TV.",what is more we get a slew of hideous adverts every seconds. The race is as much adverts as it is actual race. US TV.
6,170122184479,hugs  hugs......I wil when i hear something back.....damn them,hugs hugs.I wil when i hear something back.damn them
7,170115184472,"Had lunch at Bittercreek, they were out of Hopnoxious  Had Sweetgrass IPA tho, so all is still right in the world.",Had lunch at Bittercreek they were out of Hopnoxious Had Sweetgrass IPA tho so all is still right in the world.
8,170118184475,I am here to help  you can send me the URL,I am here to help you can send me the URL
9,170121184478,"Oh, means you are in Arang. Was just about to ask what reminded you of Kwan",Oh means you are in Arang. Was just about to ask what reminded you of Kwan
