,id,text,sentiment_text
0,801522381,< 30 minutes from curb to gate including checkin/immigration and security. Course the flight is late, minutes from curb to gate including checkinimmigration and security. Course the flight is late
1,801922385,"<- hates web twitter BTW, but RP column will not save all the tweets", hates web twitter BTW but RP column will not save all the tweets
2,802322389,<--- is sad he lost his soccer semi tonight. Maybe tomorrow or Thurs will go better., is sad he lost his soccer semi tonight. Maybe tomorrow or Thurs will go better.
3,801822384,<-- G'bye Second Year old self. Am about to replace my patch., Gbye Second Year old self. Am about to replace my patch.
4,802122387,<---------- is being ignored when she sends direct messages it seems., is being ignored when she sends direct messages it seems.
5,801722383,<---- Fighting the NWO every day., Fighting the NWO every day.
6,802222388,<--- is crying because the Twilight Saga audio cd that burned for me will not play in any of my cd players, is crying because the Twilight Saga audio cd that burned for me will not play in any of my cd players
7,802022386,<-- I guess burrito lady does not go out in the rain, I guess burrito lady does not go out in the rain
8,802422390,<--- is very depressed, is very depressed
9,801622382,,
