,id,text,sentiment_text
0,4456558922,everyone hates me anna.,everyone hates me anna.
1,4456958926,fab wknd to you ann,fab wknd to you ann
2,4457358930,"No there is not a snooze, nor is there is a volume control button.",No there is not a snooze nor is there is a volume control button.
3,4457258929,Morning,Morning
4,4456758924,Yes. I will call you sometime if you want to get together,Yes. I will call you sometime if you want to get together
5,4456858925,45 more min. for me to wait, more min. for me to wait
6,4457158928,"I watch everyday, I love you guys!",I watch everyday I love you guys
7,4456458921,im tweeting! how awesome am i? i cannot find tina or bree,im tweeting how awesome am i cannot find tina or bree
8,4457058927,Good Morning Ann!Hope you have a good day! It would be an honor for you to follow me here on Twitter  -Greg-,Good Morning AnnHope you have a good day It would be an honor for you to follow me here on Twitter Greg
9,4456658923,have a nice day,have a nice day
