,id,text,sentiment_text
0,230289244646,"ooooh, that is got to make you proud!",ooh that is got to make you proud
1,230285244642,Like there was ever any doubt you would not.. Way to go,Like there was ever any doubt you would not. Way to go
2,230287244644,"maybe you just think you feel that way because you have already been ""great"".",maybe you just think you feel that way because you have already been great.
3,230288244645,missing your blog badly.,missing your blog badly.
4,230290244647,ouch  hang on. be strong. we are not our parents. our children...dunno if you have any...but...they are not us either!,ouch hang on. be strong. we are not our parents. our children.dunno if you have any.but.they are not us either
5,230292244649,"Probably yes, because shei? 1/2 ll be your wife, not your mom...  Just in case, enjoy your breakfast !",Probably yes because shei ll be your wife not your mom. Just in case enjoy your breakfast 
6,230291244648,"please, can yoy say me, what time is it there? i have the pic winner, the tatoo-my friend is sleeping in this moment,",please can yoy say me what time is it there i have the pic winner the tatoomy friend is sleeping in this moment
7,230286244643,loved the children's choir together with your great playing,loved the children choir together with your great playing
8,230284244641,Lester?  Guessed her?  Yester-day?  You can think of something.  No cop outs now.,Lester Guessed her Yesterday You can think of something. No cop outs now.
9,230293244650,sounds like a good lonely.. might just do the same..,sounds like a good lonely. might just do the same.
