,id,text,sentiment_text
0,273371287728,"""sorry did not get a chance to meet you  Was busy meeting the Bishop of Orange County @ the Basilica in San Juan Capistrano!""",sorry did not get a chance to meet you Was busy meeting the Bishop of Orange County the Basilica in San Juan Capistrano
1,273373287730,Alligator Pie rocks! Have a great day Linda.,Alligator Pie rocks Have a great day Linda.
2,273369287726,that is wat i was thinkin,that is wat i was thinkin
3,273368287725,awwww bless spencer  i feel sly on him,aww bless spencer i feel sly on him
4,273364287721,because I care  lol,because I care lol
5,273365287722,"NP. I think most teams have a twitter account, so happy hunting.",NP. I think most teams have a twitter account so happy hunting.
6,273370287727,there is 2 gates.. there is a side gate so they cud have gone there who nos until she cums home  hehe x,there is gates. there is a side gate so they cud have gone there who nos until she cums home he x
7,273372287729, I think I will!!  Good Morning to you.. I am go collapse in the bed for 7 hrs. have a beautiful day!, I think I will Good Morning to you. I am go collapse in the bed for hrs. have a beautiful day
8,273367287724,"come over. No excuses, I want to see you",come over. No excuses I want to see you
9,273366287723,Happy to answer any questions you might have about HostGator. do not hesitate to ask.,Happy to answer any questions you might have about HostGator. do not hesitate to ask.
