,id,text,sentiment_text
0,1308327440,*yawwwwwwwn* good morning!,yawwn good morning
1,1307827435,*yawns* Just woke up.,yawns Just woke up.
2,1307727434,*yawns* it is a 3 week break ahead and I am already bored,yawns it is a week break ahead and I am already bored
3,1307527432,*Yawn*stretch*sskritch*  everyone (even the kids) slept in a little this morning... and we woke up to MORE SNOW!!!  sigh poor plants,Yawnstretchsskritch everyone even the kids slept in a little this morning. and we woke up to MORE SNOW sigh poor plants
4,1308227439,*yawnstretchyawn* I am so tiredddd  The boredum-bug is draining the life out of me!,yawnstretchyawn I am so tiredd The boredumbug is draing the life out of me
5,1308027437,*yawns* Sleepy and bored.  At least magic won. Woohoo...not. xD,yawns Sleepy and bored. At least magic won. Woohoo.not. xD
6,1307927436,*Yawns* Morning! it is a crappy rainy day outside,Yawns Morning it is a crappy rainy day outside
7,1308127438,*yawns.  im tireddd. where is everybody,yawns. im tiredd. where is everybody
8,1307427431,*yawn*...feeling so lethargic today...at least it is nice out again today. Wish I was at MoCCA,yawn.feeling so lethargic today.at least is nice out again today. Wish I was at MoCCA
9,1307627433,"*yawns* I do not want to go to work, boss is coming over soon I am not ready to face him   he is coming Thursday..so not ready",yawns I do not want to go to work boss is coming over soon I am not ready to face him he is coming Thursday.so not ready
