,id,text,sentiment_text
0,2741941776,little debbie told me you were playing Office trivia. i am sad,little debbie told me you were playing Office trivia. i am sad
1,2741441771,"thank you so much, lovelies! I am excited to be back- how i've missed all of my twitter friends!",thank you so much lovelies I am excited to be back how ive missed all of my twitter friends
2,2742341780,but your so beautiful to me <3 love you abbz! 11 days till DM leaves  </3 Blink 182 in 52 days with ,but your so beautiful to me love you abbz days till DM leaves Blink in days with 
3,2742141778,it is sarahschrocom silly!,it is sarahschrocom silly
4,2741641773,i hate fbshat. it is only for me & vikki. i do not like you in that way.,i hate fbshat. it is only for me vikki. i do not like you in that way.
5,2742041777,awww bummer you did not like  I love that place!,aww bummer you did not like I love that place
6,2741841775,"woooo, tis first day of your sciency job today? Let me know how it goes!  xxxx",woo tis first day of your sciency job today Let me know how it goes xx
7,2741741774,"thank you following, please take a moment to help support our campaign for a new domain http://dotreal.org/petition ty",thank you following please take a moment to help support our campaign for a new domain ty
8,2742241779,how is that whole walking/running thing going?,how is that whole walkingrunning thing going
9,2741541772,i actually had a silverfish in my bathtub this morning.,i actually had a silverfish in my bathtub this morning.
