,id,text,sentiment_text
0,5351032,".Did you ask Romney if his ""moment had passed?""  Would you have asked Reagan in 1980 the same? Worst question of the #GOPDebate",.Did you ask Romney if his moment had passed Would you have asked Reagan in the same Worst question of the 
1,5371034,Strange. God told me NOT to vote for them. #GOPDebate  https://t.co/b8SR6mMALx,Strange. God told me NOT to vote for them. 
2,5431040,How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,How did everyone feel about the Climate Change question last night Exactly. 
3,5401037," US Economy added 215,000 jobs in July. This must be the result of ""job-killing Obamacare"" Republicans talked about last nig...", US Economy added jobs in July. This must be the result of jobkilling Obamacare Republicans talked about last nig.
4,5341031, Called it. #GOPDebate #2016 #CruzToVictory http://t.co/P5JEm3cfpW, Called it. 
5,5411038,"""was one of the biggest winners Thursday night without even stepping on the prime-time stage."" -#GOPDebate",was one of the biggest winners Thursday night without even stepping on the primetime stage. 
6,5421039,"Re #GOPDebate: Sure, it is all fun and games until one of these wackos has his finger on the big red button. http://t.co/ndgrhvpB4I",Re Sure it is all fun and games until one of these wackos has his finger on the big red button. 
7,5361033, they are talking about Hilary like she is John Wick. I love it. #GOPDebate, they are talking about Hilary like she is John Wick. I love it. 
8,5381035, Rick Santorum said it best. #GOPDebate http://t.co/J97RbjEYlV, Rick Santorum said it best. 
9,5391036,Trumptastic #GOPDebate,Trumptastic 
