,id,text,sentiment_text
0,5264667003,"shit. I read it wrong, I thought he was joking by only letting it be put out at a very specific time",shit. I read it wrong I thought he was joking by only letting it be put out a very specific time
1,5265367010,"... so I do not invite them around anymore. It is real, it is called common courtesy.",. so I do not invite them around anymore. It is real it is called common courtesy.
2,5265167008,Thanks Gregg! Bummer though.,Thanks Gregg Bummer though.
3,5265267009,A rain dance might help. But it would be a hot rain,A rain dance might help. But it would be a hot rain
4,5265067007,"Oh, man... I miss PBS so much.  it is not available here in Canada.",Oh man. I miss PBS so much. it is not available here in Canada.
5,5264567002,"Ugh, not while I am eating my French toast",Ugh not while I am eating my French toast
6,5264467001,So sorry,So sorry
7,5264967006,I do not look to a priest or pastor for the meaning of life. I look to the Bible. Call me crazy for the right reason at least,I do not look to a priest or pastor for the meaning of life. I look to the Bible. Call me crazy for the right reason at least
8,5264867005,"Which, from your subsequent tweets, it appears you have done.. Doh",Which from your subsequent tweets it appears you have done. Doh
9,5264767004,ohe mah gah I blogged that thanks so much for posting this,ohe mah gah I blogged that thanks so much for posting this
