,id,text,sentiment_text
0,1029224649,#GoodSex is a great way to start of the day. Then it is all I can think about later and it leaves my legs weak ) I love my babe...mmm,is a great way to start of the day. Then it is all I can think about later and it leaves my legs weak I love my babe.mm
1,1028924646,#goodpussy will have you late to work.....EVERYDAY,will have you late to work.EVERYDAY
2,1029124648,#goodsex does more for me than #goodhead. I need that male penetration,does more for me than I need that male penetration
3,1028524642,#gmail is down again!,is down again
4,1028824645,#gonzpiration argh coupure !!! non   (World Record Attempt in Paris live > http://ustre.am/2X3V),argh coupure non World Record Attempt in Paris live 
5,1029324650,#goodsex is something I miss. Stupid long distance relationships.,is something I miss. Stupid long distance relationships.
6,1028624643,"#gmail spam filter must be taking a long smoke break this am, I am getting a ton of crap today!",spam filter must be taking a long smoke break this am I am getting a ton of crap today
7,1029024647,#Goodpussy will have you watching that long ass Sex in the City movie lolol....I think I just told on myself,will have you watching that long ass Sex in the City movie lol.I think I just told on myself
8,1028424641,#GM - Why is the US govt. bailing them out?  Split them apart and sell them off.  No more tax dollars. Socialism begins here. Ugh!, Why is the US govt. bailing them out Split them apart and sell them off. No more tax dollars. Socialism begins here. Ugh
9,1028724644,#gnome-do leaks are back!,do leaks are back
