,id,text,sentiment_text
0,119800134157,sounds like a plan!  have fun!,sounds like a plan have fun
1,119796134153,awwww. do you mean emily has gone back to melbourne forever? the day i am away i miss so much  i'm sorry love,aww. do you mean emily has gone back to melbourne forever the day i am away i miss so much im sorry love
2,119801134158,Ha stoked it was not just me! Worth it though,Ha stoked it was not just me Worth it though
3,119803134160,everyone loves you,everyone loves you
4,119798134155,so is the show done?  They cannot possibly want to air their family through that,so is the show done They cannot possibly want to air their family through that
5,119794134151, Well we are glad you are back.  Any pics from Curvy?, Well we are glad you are back. Any pics from Curvy
6,119799134156,So what did you think of Hills finale? Will miss LC. Next year looks like another direction.,So what did you think of Hills finale Will miss LC. Next year looks like another direction.
7,119795134152,"ugh me either! it sucks so bad  yeah anyway, text me or something!",ugh me either it sucks so bad yeah anyway text me or something
8,119797134154,Cameron will eat with you,Cameron will eat with you
9,119802134159,"and I think you are both correct, and thanks",and I think you are both correct and thanks
