,id,text,sentiment_text
0,288982303339,could not change my flight! stuck in chicago,could not change my flight stuck in chicago
1,288983303340,I forgot to put the top on the pot so the water sat in the filter,I forgot to put the top on the pot so the water sat in the filter
2,288976303333,"hello you ,how are you ?",hello you how are you 
3,288975303332,well got to go. got a 5pm meeting. bye.,well got to go. got a 5pm meeting. bye.
4,288980303337,"Free is good   will not consider a phone w/o a physical keyboard, so iPhones are probably never in my future",Free is good will not consider a phone wo a physical keyboard so iPhones are probably never in my future
5,288981303338,I know  I tried to call you to find out where you were but figured you had no reception,I know I tried to call you to find out where you were but figured you had no reception
6,288977303334,"hey ty for tip, wifi networking is one if my many talents  I will get on it when I can be bothered LOL",hey ty for tip wifi networking is one if my many talents I will get on it when I can be bothered LOL
7,288974303331,"hahaha or somewhere else   and i looked up the gucci belt that ""we"" will get you. hahah",ha or somewhere else and i looked up the gucci belt that we will get you. hah
8,288979303336,"Well, you better study hard so you can get into a good medical school!",Well you better study hard so you can get into a good medical school
9,288978303335,Thanks Lisa...Brought back some Cali sunshine!  lol,Thanks Lisa.Brought back some Cali sunshine lol
