,id,text,sentiment_text
0,244554258911, Did you enjoy ur stay here in the Netherlands?  Waking up in Vegas rocks Katy! Greetings, Did you enjoy ur stay here in the Netherlands Waking up in Vegas rocks Katy Greetings
1,244555258912,", What Video You Making Next My Girl ??   Love Youu Katyyyy  , Beck !", What Video You Making Next My Girl Love Youu Katyy Beck 
2,244558258915,5 days eee cannot wait  x,5 days ee cannot wait x
3,244563258920,Gutted I cannot See You Live When Your In london,Gutted I cannot See You Live When Your In london
4,244560258917,cannot wait to see you in glasgow on saturday,cannot wait to see you in glasgow on saturday
5,244561258918,does your SKIN look like an old person's,does your SKIN look like an old person
6,244557258914,Go ahead and sleep.  We will not talk about you until you wake up,Go ahead and sleep. We will not talk about you until you wake up
7,244559258916,cannot wait to see you in birmingham tomorrow! yay!,cannot wait to see you in birmingham tomorrow yay
8,244556258913,": hii , thanks you are the tenth that follow me !", hii thanks you are the tenth that follow me 
9,244562258919,Glad you think so,Glad you think so
