,id,text,sentiment_text
0,293901308258,Sorry. Not unemployed.,Sorry. Not unemployed.
1,293894308251,"i agree!!! if you are not in IT, or not a Garment Exporter, you have no rights to remain in office for so long!!!",i agree if you are not in IT or not a Garment Exporter you have no rights to remain office for so long
2,293902308259,Thanks for the shout out!  Have a great sunny weekend in Marin!,Thanks for the shout  Have a great sunny weekend in Marin
3,293903308260,oh yeah i forgot i do not believe in what they do to chickens,oh yeah i forgot i do not believe in what they do to chickens
4,293897308254,no choises..,no choises.
5,293899308256,thanks  Lennon has always been my fav. among  them,thanks Lennon has always been my fav. among them
6,293896308253,my moms gone to delhi...missin her,my moms gone to delhi.missin her
7,293900308257,THAT would seriously be fun.,THAT would seriously be fun.
8,293898308255,no it will not. He will be equalling pistol pete's record. And his first french open title. I am rootin for fedex,no it will not. He will be equalling pistol pete record. And his first french open title. I am rootin for fedex
9,293895308252,Good! Ppl who enjoy their jobs deserve lesser pay. And those who hate their jobs should be paid more. Makes sense right?,Good Ppl who enjoy their jobs deserve lesser pay. And those who hate their jobs should be paid more. Makes sense right
