,id,text,sentiment_text
0,268868283225,Centaur piss had my back.,Centaur piss had my back.
1,268871283228,Have fun!!,Have fun
2,268873283230,"me too. Legs mostly, but some stiffness in the neck and back. Forgot to eat a bananna afterwards",me too. Legs mostly but some stiffness in the neck and back. Forgot to eat a banna afterwards
3,268870283227,"And a good morning to you! Hawks lost game one yesterday afternoon.  But, the series is still young! How was your weekend?",And a good morning to you Hawks lost game one yesterday afternoon. But the series is still young How was your weekend
4,268866283223,"Yep, I need something permanent. People are whinging at me because they cannot get free vectors off my blog",Yep I need something permanent. People are whing at me because they cannot get free vectors off my blog
5,268869283226,my pleasure  it wouldn t be the girls without her!,my pleasure it wouldn t be the girls without her
6,268867283224,"I need help! it is funny, but not so funny @ the same time, because I am feeling EVERYTHING else!  HELP!",I need help it is funny but not so funny the same time because I am feeling EVERYTHING else HELP
7,268864283221,I need to get it together. I have not watched The Game in a minute,I need to get it together. I have not watched The Game in a minute
8,268872283229,Hey buddy! Finally getting a chance to listen   Just tuned in.,Hey buddy Finally getting a chance to listen Just tuned in.
9,268865283222,"how old are you, well its here now so just give it you all",how old are you well its here now so just give it you all
