,id,text,sentiment_text
0,5896773324,Aww I am away this weekend  however I did the Big Surf challenges with when Island came out and they are much fun!,Aww I am away this weekend however I did the Big Surf challenges with when Island came out and they are much fun
1,5896473321,"They were the highest placed clubs last season. *snort* Or people just feel sorry for them because, well, they are shit",They were the highest placed clubs last season. snort Or people just feel sorry for them because well they are shit
2,5897373330,- when you create a VM it needs an operating system otherwise its like a mac with no OS on it  you therefor need to give it a, when you create a VM it needs an operating system otherwise its like a mac with no OS on it you therefor need to give it a
3,5897173328,I just wish I had some ice cold milk to go with them.  They are the only cereal I will eat.,I just wish I had some ice cold milk to go with them. They are the only cereal I will eat.
4,5896673323,"I was attacked by two pitbulls last Friday, had surgery I cannot walk. So I cannot party",I was attacked by two pitbulls last Friday had surgery I cannot walk. So I cannot party
5,5896973326,nice view,nice view
6,5897273329,- except we arn't on GMY at the mo - its Summer ! - Doh !, except we arnt on GMY at the mo its Summer Doh 
7,5896573322,do not call me a twat :@,do not call me a twat 
8,5897073327,yeah. i think it is more because of the rainy season. i hate rainy days.,yeah. i think it is more because of the rainy season. i hate rainy days.
9,5896873325,I shall feed him to max on my birthday  morning oatsey,I shall feed him to max on my birthday morning oatsey
