,id,text,sentiment_text
0,52405737,is fact checking last night's #GOPDebate. This is awesome.,is fact checking last night This awesome.
1,52375734,cannot #UniteBlue: Which group is more likely to truly restore a culture of life?#PPSellsBabyParts #GOPDebate #Go... http://t.co/cNN0R1q2NF,cannot Which group is more likely to truly restore a culture of life. 
2,52365733,The perfect remedy for a #GOPDebate hangover is to #FF   ,The perfect remedy for a hangover is to 
3,52415738, How #Hillary Looked When Watching #CarlyFiorina #GOPDebate #Carly2016 #tcot #pjnet #ccot #tlot #RedNationRising http://t.co/aYgM..., How Looked When Watching 
4,52385735, HOW COME FOX WANTS TO BE THE THIRD PA Y??? #GOPDEBATE, HOW COME FOX WANTS TO BE THIRD PA Y 
5,52345731," ""Would you bring back water boarding?""Carson: I would not broadcast what we are doing...there is no such thing as a PC war....", Would you bring back water boardingCarson I would not broadcast what we are doing.there is no such thing as a PC war.
6,52435740,"- of all the things you can call Dr. Ben Carson the neurosurgeon... ""idiot"" is certainly not one of them. #BenCarson #GOPDebate", of all the things you can call Dr. Ben Carson the neurosurgeon. idiot is certainly not one of them. 
7,52425739,Megyn Kelly Chris Wallace and Brett Bair were no doubt posing questions to incite attacks and drama..and it backfired #GOPDebate ,Megyn Kelly Chris Wallace and Brett Bair were no doubt posing questions to incite attacks and drama.and it backfired 
8,52355732,"The candidates discuss Planned Parenthood, Roe v. Wade and abortion at the #GOPDebate http://t.co/SQueP9HaF1 http://t.co/N4RsY5VPcp...",The candidates discuss Planned Parenthood Roe v. Wade and abortion at the 
9,52395736," ""If God had perceived that our greatest need was political stability, He would have sent us a politician."" - D.A Carson...", If God had perceived that our greatest need was political stability He would have sent us a politician. D.A Carson.
