,id,text,sentiment_text
0,3160345960,"No, it was not in this case either",No it was not in this case either
1,3160045957,Oh - read that wrong.  I did not see the co-worker.  I saw the store. Oops. Cool though,Oh read that wrong. I did not see the coworker. I saw the store. Oops. Cool though
2,3159645953,yep - I still always enjoy his talks - but maybe that is cos I agree with most of it and it let us me feel vaguely clever,yep I still always enjoy his talks but maybe that is cos I agree with most of it and it let us me feel vaguely clever
3,3159745954,"my compliments on your blog. Discovered it recently and have enjoyed reading your posts, follow links and so on - great",my compliments on your blog. Discovered it recently and have enjoyed reading your posts follow links and so on great
4,3159545952,i'm just envious of anybody who has a wi fi signal in the garden,im just envious of anybody who has a wi fi signal in the garden
5,3159945956,Appreciate it,Appreciate it
6,3159445951,hahaha we did!!! that is coz we are aweeeesome  yeah I think he is leaving either monday or tuesday!,ha we did that is coz we are aweesome yeah I think he is leaving either monday or tuesday
7,3160145958,we could freaking walk to & from there,we could freaking walk to from there
8,3160245959,LOL. They only take about 15 secs longer than they play from start to finish  And I am still at work as I type this!,LOL. They only take about secs longer than they play from start to finish And I am still at work as I type this
9,3159845955,I am on my way!  http://myloc.me/1npd,I am on my way 
