,id,text,sentiment_text
0,177388191745,Doubly good plan. Get a good seat!,Doubly good plan. Get a good seat
1,177391191748,then the championship!,then the championship
2,177386191743, Thanks doll...where is the blushing smiley face when you need it. Tho a hug goodby is hard to read. Lame?, Thanks doll.where is the blushing smiley face when you need it. Tho a hug goodby is hard to read. Lame
3,177387191744,nope,nope
4,177390191747,that was an amazing and intense game.....keep it up,that was an amazing and intense game.keep it up
5,177385191742, that made me sad.., that made me sad.
6,177393191750,you all did amazing this season!! I love the magic!!! you will get em next year!!,you all did amazing this season I love the magic you will get em next year
7,177384191741,And you too Mom!  #twintuesday,And you too Mom 
8,177392191749,well done man!  you deserve it,well done man you deserve it
9,177389191746,I am asking myself the same thing.  I fully expected to sleep 'till noon today and was up at 9:30,I am asking myself the same thing. I fully expected to sleep till noon today and was up at 
