,id,text,sentiment_text
0,234430248787,Good morning to you,Good morning to you
1,234424248781,Go and shake that booty! Tell your bro and Danny I said hello!,Go and shake that booty Tell your bro and Danny I said hello
2,234433248790,Good Morning. I missed your Tink  I was downloading the Uber Twitter upgrade. it is great!,Good Morning. I missed your Tink I was downloading the Uber Twitter upgrade. it is great
3,234431248788,good morning! Have a great day..hope to hear from you soon  luv you..,good morning Have a great day.hope to hear from you soon luv you.
4,234425248782,Good god man- you do look on fire!  Looking forward to meeting you tomorrow night!!!!!! I will be the one with the boo-boo,Good god man you do look on fire Looking forward to meeting you tomorrow night I will be the one with the boo
5,234432248789,Good morning!! Does that mean I will be on the phone to you soon....??? xxxxxxxx,Good morning Does that mean I will be on the phone to you soon. xx
6,234427248784,good morning jord!!! im up showered and ready for the day....are you showered yet? brush yo teeth? have a good one!!,good morning jord im up showered and ready for the day.are you showered yet brush yo teeth have a good one
7,234428248785,GOOD MORNING MY DEAR! LOOK: http://twitpic.com/66fe2 PLEASE COME TO BRAZIL ! WE LOVE YOU! KISSES FROM BRAZIL,GOOD MORNING MY DEAR LOOK PLEASE COME TO BRAZIL WE LOVE YOU KISSES FROM BRAZIL
8,234426248783,Good Morning I freakin' heart you to death  So looking forward to Irvine 5* and getting my hug from you,Good Morning I freakin heart you to death So looking forward to Irvine and getting my hug from you
9,234429248786,good morning sweetness,good morning sweetness
