,id,text,sentiment_text
0,31983695,was right when declared on that Hillary WILL be the next POTUS. Thx to #Trump2016 for confirming @ #GOPDebate,was right when declared on that Hillary WILL be the next POTUS. Thx to for confirming 
1,31953692,"Problem with #GOPDebate too many candidates, no one got enough time to answer ALL important questions. cannot wait for the herd to thin",Problem with too many candidates no one got enough time to answer ALL important questions. cannot wait for the herd to thin
2,31993696," ""Unite everybody""... Really? Does that include people of color? The LGBTQ community? Women? #KKKorGOP #GOPDebate", Unite everybody. Really Does that include people of color The LGBTQ community Women 
3,32033700,Tough to watch the #GOPDebate and not sense that  line of questioning was trying to depose and anoint Jeb.,Tough to watch the and not sense that line of questioning was trying to depose and anoint Jeb.
4,31943691, My friends' 3-year-old's thoughts on Donald Trump are hilarious. #UniteBlue #GOPDebate http://t.co/gJ37M8NaM9, My friends 3yearold thoughts on Donald Trump are hilarious. 
5,32013698,So funny that should host the next #GOPDebate ,So funny that should host the next 
6,31973694, is being honest and not backing down. #TrumpIsRight #Trump2016  #GOPDebate, is being honest and not backing down. 
7,32023699," We wrote about how the candidates performed on Twitter, if you are interested! https://t.co/MqjYrub6tD #GOPDebate", We wrote about how the candidates performed on Twitter if you are interested 
8,31963693,"Considering which debate it was, I cannot blame them! I might need to join them! Thanks #gopdebate",Considering which debate it was I cannot blame them I might need to join them Thanks 
9,32003697,I think Trump should have been debate moderator. That would be a good role for him #GOPDebate,I think Trump should have been debate moderator. That would be a good role for him 
