,id,text,sentiment_text
0,88527102884,": Your not alone, I do not know what follow friday is either?", Your not alone I do not know what follow friday is either
1,88530102887,"the evening is dragon-themed, demon earrings are close enough",the evening is dragonthemed demon earrings are close enough
2,88533102890,And smile at them...because they will wonder what you are up to.,And smile at them.because they will wonder what you are up to.
3,88529102886,if you have got a sort throat you probably need something that smells like cough syrup: Jager or Pelinkovac,if you have got a sort throat you probably need something that smells like cough syrup Jager or Pelinkovac
4,88532102889,omg how do I leave this to go to your blog!   #BEAtwittyparty,omg how do I leave this to go to your blog 
5,88526102883,why you sad?,why you sad
6,88524102881,I think it works the other way around.. try that.,I think it works the other way around. try that.
7,88531102888,that is fun mama!!! I do not have a builtin cam on my comp tho. Or on my phone,that is fun ma I do not have a builtin cam on my comp tho. Or on my phone
8,88528102885,aww.... hugs.   Get well soon.,aww. hugs. Get well soon.
9,88525102882, its hard not to worry, its hard not to worry
