,id,text,sentiment_text
0,126141140498,: Guys Agree But listen this  how Narendra Modi is answered for that Godhra Issue. http://tinyurl.com/p6rwxz, Guys Agree But listen this how Narendra Modi is answered for that Godhra Issue. 
1,126139140496,you do not get people like that anymore,you do not get people like that anymore
2,126138140495,do not cry for me argentina!  madonna are not so bad is she? I like the costumes and period look,do not cry for me argentina madonna are not so bad is she I like the costumes and period look
3,126137140494,"Thanks for the pic cmmt hun! And ppl think I am gross but I find men that smoke hot. I know, I know....  Esp. Rob!",Thanks for the pic cmmt hun And ppl think I am gross but I find men that smoke hot. I know. Esp. Rob
4,126143140500,Damn!!! 'Twas HILAIR! I loved reading your randomy goddness. More please,Damn Twas HILAIR I loved reading your randomy goddness. More please
5,126136140493,"no, no sleeping... Were going down to slots a fun and have a drink and gamble a little..",no sleeping. Were going down to slots a fun and have a drink and gamble a little.
6,126135140492,lol.. Yes I noticed.. We just need sandy and luis to get one now!..  do not tell me to dream w/ gedward.. It hurts too much =(,lol. Yes I noticed. We just need sandy and luis to get one now. do not tell me to dream w gedward. It hurts too much 
7,126140140497,fa sho.,fa sho.
8,126142140499,I resisted the temptation...  #quitsmoking,I resisted the temptation. 
9,126134140491,its actually 40 minutes...i flew there from here b4,its actually minutes.i flew there from here b4
