,id,text,sentiment_text
0,266956281313, yup, yup
1,266963281320,Thanksss!!!  Same to you!!    We had a frost advisory last night lol so if we get no more of those I am set!!,Thankss Same to you We had a frost advisory last night lol so if we get no more of those I am set
2,266960281317,"sounds like fun  I know! I am really worried actually! You planning on uni? All is good with me, I am slightly sunburnt though X",sounds like fun I know I am really worried actually You planning on uni All is good with me I am slightly sunburnt though X
3,266962281319,I just resent it to your amygrant.com address.  Hope to hear from you soon.,I just resent it to your amygrant.com address. Hope to hear from you soon.
4,266957281314,"that is not so nice, you know!",that is not so nice you know
5,266954281311,"I do not like Jennifer Connolly either! Wow, I can never find anyone to agree with me on that one.    Find her boring and stiff.",I do not like Jennifer Connolly either Wow I can never find anyone to agree with me on that one. Find her boring and stiff.
6,266958281315,i will do that just for you..hope it pays off!!,i will do that just for you.hope it pays off
7,266959281316,"what is this world coming too, even our children are not safe",what is this world coming too even our children are not safe
8,266961281318,Awesome! I would have loved to have gone.,Awesome I would have loved to have gone.
9,266955281312,"Glad you enjoyed Ringside, sorry you got ticketed! they are ruthless down there, are not they!",Glad you enjoyed Ringside sorry you got ticketed they are ruthless down there are not they
