,id,text,sentiment_text
0,1236426721,<3<3<3 Just got done cleaning! YAY! But now ive got to Babysit     <3<3<3, Just got done cleaning YAY But now ive got to Babysit 
1,1237226729,<3s the boy but wishes she would slept later than when he went to work. cannot wake up...  at least it will be NOT raining today. Mommy's coming!,3s the boy but wishes she would slept later than when he went to work. cannot wake up. at least it will be NOT raing today. Mommy coming
2,1237026727,<3s #ophcrack. Managed to forget the admin passwords to two Windows installs,3s Managed to forget the admin passwords to two Windows installs
3,1237326730,HOW DO YOU USE THIS THING? LOL WHO USES BEBO? I NEED FRIENDS ON THIS THING LOL  im on immaluva_notahater.bebo.com lol add me,HOW DO YOU USE THIS THING LOL WHO USES BEBO I NEED FRIENDS ON THIS THING LOL im on immaluvanotahater.bebo.com lol add me
4,1236926726,"<3nothing like a good ol` morning pash behind a small cute church in the sun, on a frost infested feild. it is sweeter than it sounds..",3nothing like a good ol morning pash behind a small cute church in the sun on a frost infested feild. it is sweeter than it sounds.
5,1236826725,<3dresses.  <3percocet <3ativan <3milkshakes <3sunny weather   my dumb leg and want it to just straighten the shit out.,3dresses. 3percocet 3ativan 3milkshakes 3sunny weather my dumb leg and want it to just straighten the shit out.
6,1237126728,"<3's Robert Pattinson. Omg, ahhh obsessed with skins!  Tonyy (Y)",3 Robert Pattinson. Omg ahh obsessed with skins Tonyy Y
7,1236526722,<3<3<3Just Woke UP! About to make a homemade music video !!!(Then i go to clean my room again  <3<3<3, Just Woke UP About to make a homemade music video Then i go to clean my room again 
8,1236726724,"<3333333 TWILIGHT, TWILIGHT, TWILIGHT; NEW MOON, NEW MOON, NEW MOON. <33333333  ZOMG, ZOMG, ZOMG. <333333333", TWILIGHT NEW MOON ZOMG 
9,1236626723,<333 thanks, thanks
