,id,text,sentiment_text
0,5319867555,"it will be simple, but it will be something",it will be simple but it will be something
1,5319967556,my dad. And my baby girl.  *Where words fail music speaks*,my dad. And my baby girl. Where words fail music speaks
2,5320167558,This is concerning me. What is wrong?,This concerning me. What is wrong
3,5320367560,Wow that is insane. o.o Well tell me if you get it to work.  I want to try it if it does.,Wow that is insane. o.o Well tell me if you get it to work. I want to try it if it does.
4,5320067557,"Remember me at all, pally?",Rember me at all pally
5,5319467551, just myself., just myself.
6,5320267559,"Uh oh, what happened?",Uh oh what happened
7,5319567552,i want to see it but im not near internet,i want to see it but im not near internet
8,5319767554,Dude... AdultSwim was the suck a looooooong time ago.  CN is just taking more time to catch up with the suck train.,Dude. AdultSwim was the suck a loong time ago. CN is just taking more time to catch up with the suck train.
9,5319667553,Stick insects  four of them.  I used to keep them but only one baby survived.  I call him Stumpy hehe,Stick insects four of them. I used to keep them but only one baby survived. I call him Stumpy he
