,id,text,sentiment_text
0,568210310663835648322845,To DC this summer and help local youth get ready to return to school with math refresher courses. #FlyItForward,To DC this summer and help local youth get ready to return to school with math refresher courses. 
1,568208666035417088322850,I have many allergies and want to know if I can bring an 8oz. bottle of Benadryl on the flight along with my 2 epipens?,I have many allergies and want to know if I can bring an 8oz. bottle of Benadryl on the flight along with my epipens
2,568211991757770752322844,"Why does not your ""Best Fare Finder"" work?",Why does not your Best Fare Finder work
3,568210186755813376322846,good luck. Thanks.,good luck. Thanks.
4,568213658117005314322842,thanks. I appreciate your prompt response.,thanks. I appreciate your prompt response.
5,568209150410248192322848,"Currently on  my new robotic love-doll. Reminded heavily of s bit about them-hence an excuse to say ""huxleyesque.""",Currently on my new robotic lovedoll. Reminded heavily of s bit about themhence an excuse to say huxleyesque.
6,568208831030943744322849,third JetBlue flight in less than a week. All Late Flight not for weather.  Reliability going downhill.,third JetBlue flight in less than a week. All Late Flight not for weather. Reliability going downhill.
7,568212538778906624322843,"I put it my ""to"" and ""from"" airports, click update and it tells me to put in my ""to"" and ""from"" airports.",I put it my to and from airports click update and it tells me to put in my to and from airports.
8,568209287517835265322847,"It really is nice, though. The snack fridge...that you can just get up and take stuff out, like a dorm common room, is genius. ",It really is nice though. The snack fridge.that you can just get up and take stuff out like a dorm common room is genius. 
9,568213769098108928322841,wow you guys answer people wow you care I love jet blue,wow you guys answer people wow you care I love jet blue
