,id,text,sentiment_text
0,6246276819,i do not see this going back to cle,i do not see this going back to cle
1,6246176818," afternoon shift for me is the ""shit"" shift", afternoon shift for me is the shit shift
2,6245876815,when I go to www.cocktailour.com I can see it... I dunno why you do not,when I go to ww.cocktailour.com I can see it. I dunno why you do not
3,6246376820,we have sales all the time. I will let ya know!,we have sales all the time. I will let ya know
4,6246076817,yes indeed!  nice to see you on twitter! Why do you ask? xx,yes indeed nice to see you on twitter Why do you ask xx
5,6245976816,you included people you do not even know for real and the real life people do not get shouts  I am hurt,you included people you do not even know for real and the real life people do not get shouts I am hurt
6,6245476811,what is wrong wif tha world? Bibi does not need me  ihik..,what is wrong wif tha world Bibi does not need me ihik.
7,6245676813,your client again?,your client again
8,6245576812,Thanks!  What we will do today?,Thanks What we will do today
9,6245776814,"""Sorry, currently our video library can only be streamed from within the United States """,Sorry currently our video library can only be streamed from within the United States 
