,id,text,sentiment_text
0,569896616322334720323871,"is struggling. had me on hold for 25 minutes, kicked me back to the start, then said they could not handle the amount of calls",is struggling. had me on hold for minutes kicked me back to the start then said they could not handle the amount of calls
1,569895100526039040323874,i will be Cancelled Flighting my us airways credit card and choosing other airlines after my experience this week.,i will be Cancelled Flighting my us airways credit card and choosing other airlines after my experience this week.
2,569894983265710081323875,"thank you, but it says the website is down",thank you but it says the website is down
3,569895538910498817323873,they told me to call back Late Flightr,they told me to call back Late Flightr
4,569894100649947136323878,website is not working and I cannot talk to any1 on the phone to check flight status out of dfw. Roads are awful and cannot get there,website is not working and I cannot talk to any1 on the phone to check flight status out of dfw. Roads are awful and cannot get there
5,569893878536527872323880,If my flight is going to be Cancelled Flightled every week I might as well be in business class.,If my flight is going to be Cancelled Flightled every week I might as well be in business class.
6,569894035797753856323879,rebooked for Tuesday. Arriving too Late Flight for on Tuesday to start the class. Cancelled Flightled the trip.,rebooked for Tuesday. Arriving too Late Flight for on Tuesday to start the class. Cancelled Flightled the trip.
7,569894449922252800323876,"I cannot make it to airport, roads are to bad in DFW and no one is answering the phones and the website is down?How do I reschedule",I cannot make it to airport roads are to bad in DFW and no one is answering the phones and the website is downHow do I reschedule
8,569896241196339201323872,no you call me.,no you call me.
9,569894295953645568323877,Pilot pleads to let boarding begin for full flight #1937 while waiting for 4th flight attendant. Denied by mission control. Grrrr,Pilot pleads to let boarding begin for full flight while waiting for 4th flight attendant. Denied by mission control. Grr
