,id,text,sentiment_text
0,260494274851,that you all say 'hoy',that you all say hoy
1,260495274852,"""Thumbs Up!!!""",Thumbs Up
2,260496274853,"dats right jyo, tell all them bogus muhfuckas to lay low...I got to work on my chi-city lingo",dats right jyo tell all them bogus muhfuckas to lay low.I got to work on my chicity lingo
3,260498274855,"you seem smart, you should pick up on html in a breeze!  My job is asking me to design sites with Flash& that mug is a bitch",you seem smart you should pick up on html in a breeze My job is asking me to design sites with Flash that mug is a bitch
4,260501274858,haha i will scream with you,ha i will scream with you
5,260497274854,I hope so!  I want smiley faces and on screen keyboards!,I hope so I want smiley faces and on screen keyboards
6,260499274856, ** Boo! Too depressing!!, Boo Too depressing
7,260500274857,awe cheer up,awe cheer up
8,260503274860,"MacStories 1st Contest: Win a copy of Mailplane, the app that brings Gmail to Mac. See details at macstories.net",MacStories 1st Contest Win a copy of Mailplane the app that brings Gmail to Mac. See details at macstories.net
9,260502274859,Oh  yeah i would not try Edward haha,Oh yeah i would not try Edward ha
