,id,text,sentiment_text
0,5294067297,"; yes, we will! man.. i be trying too! she was here & ppl were like WHY are you so excited?? lol, i did not get to see her tho", yes we will man. i be trying too she was here ppl were like WHY are you so excited lol i did not get to see her tho
1,5293667293,soooo um never replied back to the tatted pic I sent him im a lil disappointed  still a fan though,soo um never replied back to the tatted pic I sent him a lil disappointed still a fan though
2,5293467291,"Not a fan of carrots at all, but I know they are very good for me. I will work on it.  Thanks for the advice..",Not a fan of carrots at all but I know they are very good for me. I will work on it. Thanks for the advice.
3,5293767294,"lol, figured, you and jmac always m&g lol need em for the fs",lol figured you and jmac always mg lol need em for the fs
4,5293567292,OMG I cannot DOWNLOAD IT,OMG I cannot DOWNLOAD IT
5,5294267299,"twas not more than a joke, sorry  My new EEE1000HE is shipping currently ;)",twas not more than a joke sorry My new EE HE is shipping currently 
6,5293867295,that is so cool!,that is so cool
7,5294367300,so unfair not open to Ireland,so unfair not open to Ireland
8,5294167298,I am sorry you got to bed so late. We can take a nap together today.,I am sorry you got to bed so late. We can take a nap together today.
9,5293967296,yeah it is ! Lmfao I am hungry I want more but I am on a diet  hahaha,yeah it is Lmfao I am hungry I want more but I am on a diet ha
