,id,text,sentiment_text
0,7740391760,you know how super jealous i am of you and you just KEEP rubbing it in,you know how super jealous i am of you and you just KEEP rubbing it in
1,7740091757,  hope you feel better real soon!, hope you feel better real soon
2,7739991756,"there was 7of us, and it does not matter, we all had tons of fun",there was 7of us and it does not matter we all had tons of fun
3,7740191758,unfortunately we got to concert late. Saw 5 1/2 great songs but missed 1st 12+,unfortunately we got to concert late. Saw great songs but missed 1st 
4,7739891755,i know  rain rain rain rain. grrrrrrrrrrrrr.,i know rain rain. grr.
5,7739491751,butbutbut  i want to go this time!! lolol xD,but i want to go this time lol xD
6,7739591752,you are going?! lucky! I needa find someone to to with,you are going lucky I needa find someone to with
7,7739691753, sorry you feel bad. do not worry if your tongue turns black. it happens. with the bismol., sorry you feel bad. do not worry if your tongue turns black. it happens. with the bismol.
8,7740291759,whatttt!! I loved it  its wayy too long though,whatt I loved it its wayy too long though
9,7739791754,"I have been waiting for DH to change drains in my sink for over a year. Faucet was done, but sink will not draink properly",I have been waiting for DH to change drains in my sink for over a year. Faucet was done but sink will not draink properly
