,id,text,sentiment_text
0,7301387370,haha! thanks for the laugh,ha thanks for the laugh
1,7300987366,yes he is. and I keep hoping one appears in your area. not so far.,yes he is. and I keep hoping one appears in your area. not so far.
2,7300587362,that srsly sucks & makes me think twice abt getting rid of my iPhone  I hope it gets sorted out & that you have a gd nite.,that srsly sucks makes me think twice abt getting rid of my iPhone I hope it gets sorted out that you have a gd nite.
3,7301087367,"Toronto is a great city.  Less ruthless than Montreal, but every bit as cool",Toronto is a great city. Less ruthless than Montreal but every bit as cool
4,7300687363,that is what I thought too!,that is what I thought too
5,7300887365,"Hi, you might enjoy his new single ""Fight For Love"", awesome song and vocals",Hi you might enjoy his new single Fight For Love awesome song and vocals
6,7301187368,"If David is your adopted brother, can i be your adopted sister?  (Y) haha",If David is your adopted brother can i be your adopted sister Y ha
7,7300487361,"THANK YOU SO MUCH!!! you are the best  No the breathing is not getting any worse thankfully. he is resting, which is good.",THANK YOU SO MUCH you are the best No the breathing is not getting any worse thankfully. he is resting which is good.
8,7301287369,sounds so peaceful and beautiful,sounds so peaceful and beautiful
9,7300787364,Do EVERYTHING to film scores.,Do EVERYTHING to film scores.
