,id,text,sentiment_text
0,220469234826,"www.teenchoiceawards.com Oh, please vote for for Dancing w/the Stars & for Female Athlete too. Thx",ww.teenchoiceawards.com Oh please vote for Dancing wthe Stars for Female Athlete too. Thx
1,220473234830,"any ""how to get your break in acting"" tips?!?!?",any how to get your break in acting tips
2,220471234828,"- its my bday, wish me a happy one??", its my bday wish me a happy one
3,220465234822,http://twitpic.com/6u9ek - really good i love this one!, really good i love this one
4,220472234829,"and I can tell you a few other ways to get rid of 'The Texting Weirdos"" if you tweet me back",and I can tell you a few other ways to get rid of The Texting Weirdos if you tweet me back
5,220466234823,"I actually guessed that, but my tweet did not go through.  Oh well, I will get the next one.",I actually guessed that but my tweet did not go through. Oh well I will get the next one.
6,220467234824,I just voted. They were all so cool I was hard to choose.,I just voted. They were all so cool I was hard to choose.
7,220468234825,"I love your role on iCarly, Bye",I love your role on iCarly Bye
8,220470234827,You Have A Lot Of Followers,You Have A Lot Of Followers
9,220464234821,seems perfectly reasonable to me,seems perfectly reasonable to me
