,id,text,sentiment_text
0,233517247874,I keep thinking maybe I will try to b a suicide girl ... But do not think I am quite cute enuff,I keep thinking maybe I will try to b a suicide girl . But do not think I am quite cute enuff
1,233519247876,thank you. I was really curious. thought my tweet would be ignored,thank you. I was really curious. thought my tweet would be ignored
2,233522247879,..I appreciate the recs,.I appreciate the recs
3,233520247877, Okley dokley. I SHALL SEE you THERE! ?, Okley dokley. I SHALL SEE you THERE 
4,233521247878, Happy Monday then!!, Happy Monday then
5,233518247875,"ha, oh yeah, anova chance of seeing a 10yr old girl breakdown live on national television  excellent XD",ha oh yeah anova chance of seeing a yr old girl breakdown live on national television excellent XD
6,233514247871,sucks I am missing it.,sucks I am missing it.
7,233523247880,"O2 are driving us nuts, if it was not for the fact that they still have the exclusive on the iPhone, we would be long gone.",O2 are driving us nuts if it was not for the fact that they still have the exclusive on the iPhone would be long gone.
8,233515247872,w/e...,we.
9,233516247873,welcome to twitter Daryl. You got to do something about that generic avatar,welcome to twitter Daryl. You got to do something about that generic avatar
