,id,text,sentiment_text
0,214615228972,Glad you had fun! We missed youuuu!! Now twin's gone for a week!!,Glad you had fun We missed youu Now twin gone for a week
1,214616228973,you have an exam tomorrow? i thought it was a public holiday maybe its just brisbane. anyway good luck,you have an exam tomorrow i thought it was a public holiday maybe its just brisbane. anyway good luck
2,214614228971,my boo is on the East Coast  so I got his permission and  is my chaperone  I am his wing girl tonight,my boo is on the East Coast so I got his permission and is my chaperone I am his wing girl tonight
3,214623228980,on web at least,on web at least
4,214617228974,you can just upload em to Twitpic.com,you can just upload em to Twitpic.com
5,214618228975,you will find one,you will find one
6,214622228979,HAHA it is okay. you can get in line to borrow melody's dvd haha.,HA it is okay. you can get in line to borrow melody dvd ha.
7,214621228978,going to p!nk concert! Heh! Ohh I missed the last one too !,going to pnk concert Heh Ohh I missed the last one too 
8,214620228977,Nah - I am staying in too! LOL How was the benefit then?,Nah I am staying in too LOL How was the benefit then
9,214619228976,LOL I shall await your command! Now go and get that store finished or it will all be my fault for detaining you here!,LOL I shall await your command Now go and get that store finished or it will all be my fault for detaing you here
