,id,text,sentiment_text
0,159333173690,thanks for the florist feed guys... i believe in you too,thanks for the florist feed guys. i believe in you too
1,159324173681,"They have such great chemistry together, so whyyy do the promos look so forced and awkward.",They have such great chemistry together so whyy do the promos look so forced and awkward.
2,159331173688,kurang sering apa gw ke sency fin? And yet I never ran into him. smua aja ktmu dia,kurang sering apa gw ke sency fin And yet I never ran into him. smua aja ktmu dia
3,159329173686,i like your thinking,i like your thinking
4,159330173687,"I am actually a pretty good cook. I love cooking, so I am sure that helps.",I am actually a pretty good cook. I love cooking so I am sure that helps.
5,159326173683,at least if you forget it there is always youtube,at least if you forget it there is always youtube
6,159328173685,"OMG, jaw-droppingly cool stuff ... thanks for that site, you da bestest",OMG jawdroppingly cool stuff . thanks for that site you da best
7,159327173684,I will miss you,I will miss you
8,159325173682,"I forgive you, like the new photo.",I forgive you like the new photo.
9,159332173689,"ok thanks, got it, I will have a look when back on computer not iPhone many thanks",ok thanks got it I will have a look when back on computer not iPhone many thanks
