,id,text,sentiment_text
0,163671178028,Oh.. that is right! we DO chug from a wiffel bat.. how awesome of us! Haha dizzy bat tournament some night?,Oh. that is right we DO chug from a wiffel bat. how awesome of us Haha dizzy bat tournament some night
1,163667178024,Mrs. Monkey makes do with a Lidl pannier set... a snip at i? 1/2 15,Mrs. Monkey makes do with a Lidl pannier set. a snip at i 
2,163670178027, nice song! i play the house version of back in the day, nice song i play the house version of back in the day
3,163672178029,hey windaa,hey windaa
4,163664178021,yay you survived math! big ups!,yay you survived math big ups
5,163665178022,"It was stuff  I would downloaded onto my old lappy, but now it is all lost. I only have my cd's left",It was stuff I would downloaded onto my old lappy but now it is all lost. I only have my cd left
6,163668178025,why you are not updating??? that is not like you!  is something wrong? whuts wrong??,why you are not updating that is not like you is something wrong whuts wrong
7,163669178026,"Are you studying? Aw, that sucks!",Are you studying Aw that sucks
8,163666178023,How do I update my twitter by text... I text to 40404 right? Cuz I did that and it will not work...,How do I update my twitter by text. I text to right Cuz I did that and it will not work.
9,163673178030,thta would be nicee,thta would be nicee
