,id,text,sentiment_text
0,1003224389,"""I may not have gone where I intended to go, but I think I have ended up where I needed to be.""",I may not have gone where I intended to go but I think I have ended up where I need to be.
1,1003024387,"""I love knowledge. I love thinkin. Fressshman. Fressshman."" pellericious math song",I love knowledge. I love thinkin. Fresshman. pellericious math song
2,1002424381,"""i know if i stay it will just because more pain but i cannot let you go"" ... oh so true",i know if i stay it will just because more pain but i cannot let you go . oh so true
3,1002824385,"""i look at your photograph all the time. these memories come back to life & i do not mind."" i feel like you have been gone forever.",i look at your photograph all the time. these memories come back to life i do not mind. i feel like you have been gone forever.
4,1003324390,"""I miss you"" . You are not  the same person .",I miss you . You are not the same person .
5,1002924386,"""i love being burned by hot glue guns""-me ""why?""-lyndsey ""idk""-me. 5 minutes later i get a severe 2nd degree burn from the hot glue gun.",i love being burned by hot glue gunsme whylyndsey idkme minutes later i get a severe 2nd degree burn from the hot glue gun.
6,1003124388,"""i loveyou, there is a helicopter above my house""-Dylan  <333  aaahahaha xD",i loveyou there is a helicopter above my houseDylan aaha xD
7,1002524382,"""I know you are here but I still feel alone""",I know you are here but I still feel alone
8,1002624383,"""I like corny. I am looking for corny in my life""",I like corny. I am looking for corny in my life
9,1002724384,"""I like to think of Jesus as a mischevious badger."" hahahaha.",I like to think of Jesus a mischevious badger. ha.
