,id,text,sentiment_text
0,142087156444,Twitter wastes time A LOT!!!!! it is the BLOCKHEAD way of life nowadays!,Twitter wastes time A LOT it is the BLOCKHEAD way of life nowadays
1,142088156445,you do not want 2 know where some of them get their info...lol...  it is sometimes funny.,you do not want know where some of them get their info.lol. it is sometimes funny.
2,142090156447,WHEN did this happen? Just kidding! do not bother with the crap anyone says. We only believe it if you say it,WHEN did this happen Just kidding do not bother with the crap anyone says. We only believe it if you say it
3,142092156449,you are SO lucky. i could not leave the house tonight,you are SO lucky. i could not leave the house tonight
4,142093156450, HAHATEETH :-P jkkk. but yes it broke unfortunately... my school books fell on it on the last day, HATEETH P jkk. but yes it broke unfortunately. my school books fell on it on the last day
5,142084156441,So why do not you mention one of us? LMAO,So why do not you mention one of us LMAO
6,142089156446,"you are THE MAN!!!!!!!!!!!!! Well, next 2 Donnie that is!!!!!!!!",you are THE MAN Well next Donnie that is
7,142085156442,Think you should do afterparty on BEALE STREET after Memphis show & then fly to Wichita! I will look into ticket prices 4 you!,Think you should do afterparty on BEALE STREET after Memphis show then fly to Wichita I will look into ticket prices you
8,142086156443,Tweet not Twit!,Tweet not Twit
9,142091156448,Why the daze? Are you still not feeling well?  Andrea,Why the daze Are you still not feeling well Andrea
