,id,text,sentiment_text
0,960323960,"""Jesus wept."" Tears can be a wonderful way 2 show are kids love.  http://bit.ly/SYVrx",Jesus wept. Tears can be a wonderful way show are kids love. 
1,960123958,"""it is you and me forever, it is you and me right now, it will be right..."" I love you a(tm)Y=, and I miss you",it is you and me forever it is you and me right now it will be right. I love you atmY and I miss you
2,959723954,"""it is rare that 2can get along But when they do, they are inseparable. Such a blessing comes 2few"" - i feel blessed 2day. you know who you R!",it is rare that 2can get along But when they do they are inseparable. Such a blessing comes 2few i feel blessed 2day. you know who you R
3,959523952,"""it is not judgmental when you are right"" - thanks Erica  Valuable lessons from public opinion class.",it is not judgmental when you are right thanks Erica Valuable lessons from public opinion class.
4,960223959,"""Jake Coco: hi!!!!    I love your picture....haha funny stuff!"". vou ali agarrar ele, beijos.",Jake Coco hi I love your picture.ha funny stuff. vou ali agarrar ele beijos.
5,959823955,"""it is the friends you can call up at 4 a.m. that matter."" ~Marlene Dietrich  - Or tweet at 4am",it is the friends you can call up at a.m. that matter. Marlene Dietrich Or tweet at 4am
6,959923956,"""it is the not knowing that makes it the worst.""",it is the not knowing that makes it the worst.
7,960023957,"""it is the same old song! (...) let us play it again!"" Dumb? Peter TA$?gtgren knows how to make a masterpiece from such an dumb lyric",it is the same old song . let us play it again Dumb Peter TAgtgren knows how to make a masterpiece from such an dumb lyric
8,959423951,"""its never too late to shoot for the stars, regardless of who you are""",its never too late to shoot for the stars regardless of who you are
9,959623953,"""it is pronounced Wienerslave.""",it is pronounced Wienerslave.
