,id,text,sentiment_text
0,101516115873,Nice! I will send you a DM with it.,Nice I will send you a DM with it.
1,101514115871,"LOL .. ""THink with your phone instead your dick"", i would rather think with my brain",LOL . THink with your phone instead your dick i would rather think with my brain
2,101515115872,"No - I did ""get back on the horse"" a couple of times after the fall, but had lost all confidence. have not ridden for 5 years",No I did get back on the horse a couple of times after the fall but had lost all confidence. have not ridden for years
3,101518115875,who is sammy styles? Sammy styles is my doggie. I cannot believe you do not know my other half.,who is sammy styles Sammy styles is my doggie. I cannot believe you do not know my other half.
4,101522115879,sounds like a good way to start the workday,sounds like a good way to start the workday
5,101519115876,"OSSU++OSSOSS OOE OSSO!you,, you...you^ you,,O1O"" O""OSSU,,O""O+-you...O!O(c) :p OOE OSSO1O+-you? OSSU,,O*O+-USU,O(c) O""OSSU,,you^you^O+-O-O""O+-USO3 .. O""OSSU,,you...you+OSSO3O""O(c) OaO-you^USU+OaUf you...you...USO2O(c) you^OSSU,O1USO(c)OOE O""you^O-US OSSU,,OaO1U,,USU, O1U,,USU++OSS you,,UfU+you'US you...OPO*O+- you,,you,,O(r)O+-you^O!",OSSUOSS OOE OSSOyou you.you youO1O OOSSUOOyou.OOc p OOE OSSO1Oyou OSSUOOUSUOc OOSSUyouOOUSO3 . OOSSUyou.youOSSO3OOc OaOyouUSUOaUf you...USO2Oc youOSSUO1USOcOOE OyouOUS OSSUOaO1UUSU O1UUSUOSS youUfUyouUS you.OPOO youOrOyouO
6,101520115877,"thx, I am totally not on par reg. apple product line.that is why I always buy just before new announcements",thx I am totally not on par reg. apple product line.that is why I always buy just before new announcements
7,101521115878,"OH MY GOD, NO  do not.",OH MY GOD NO do not.
8,101517115874,"rips ur heart out when they are sick, right?",rips ur heart out when they are sick right
9,101523115880,im sooo not a nerd  dnt play me mr.hawkins,im soo not a nerd dnt play me mr.hawkins
