,id,text,sentiment_text
0,121884136241,No problem ~ looking forward to all the Twitter updates between now and then,No problem looking forward to all the Twitter updates between now and then
1,121889136246,OC Tweetup?? When?,OC Tweetup When
2,121888136245,"indeed!  Midyear is going to be fun, methinks...",indeed Midyear is going to be fun methinks.
3,121893136250,RunKeeper might suit as alternative to Nike+ for iPhone http://bit.ly/ZC9Lj - Pro version was free on iTMS for a while,RunKeeper might suit as alternative to Nike for iPhone Pro version was free on iTMS for a while
4,121892136249,you and are tweeter maniacs! I cannot keep up even if I wanted to  lol,you and are tweeter maniacs I cannot keep up even if I wanted to lol
5,121890136247,"Okay, I am officially jealous. I have to wait for Charlie's books to get here, and I did not remember to order China's book.",Okay I am officially jealous. I have to wait for Charlie books to get here and I did not rember to order China book.
6,121885136242,"Sorry, ""Hey"" was shorter than good morning",Sorry Hey was shorter than good morning
7,121887136244,we will miss you too Lucario!!!!!!,we will miss you too Lucario
8,121891136248,My reply is no,My reply is no
9,121886136243,hope you did not get caught in the rain!?! Post those photos to Flickr.,hope you did not get caught in the rain Post those photos to Flickr.
