,id,text,sentiment_text
0,86099100456,I am not going to be at kimmel either. I already had plane tix for mexico!,I am not going to be at kimmel either. I already had plane tix for mexico
1,86102100459,I hope you get to create  Ready to hear what pumps out ya brain!,I hope you get to create Ready to hear what pumps out ya brain
2,86097100454,it is supposed to rain here until at least monday!,it is supposed to rain here until at least monday
3,86100100457,Let mek now if you still have problems and which episodes,Let mek now if you still have problems and which episodes
4,86094100451,i am still here   *hugs*,i am still here hugs
5,86098100455,"We just saw unnecessary quotations.. Pet Supplies ""Plus"".Too slow to take a pic.",We just saw unnecessary quotations. Pet Supplies Plus.Too slow to take a pic.
6,86101100458,"No, I am afraid not. I have been meaning to do a final episode, but can get folks to send in comments or voicemail",No I am afraid not. I have been meaning to do a final episode but can get folks to send in comments or voicemail
7,86096100453,..how are the twins? Post new pics on FB please,.how are the twins Post new pics on FB please
8,86095100452,"we are testing several programs, one of them could do this",we are testing several programs one of them could do this
9,86103100460,Haha. I do not...  Wild single happy and free is me!,Haha. I do not. Wild single happy and free is me
