,id,text,sentiment_text
0,4376158118,I am still hungry now!  How about you guys?,I am still hungry now How about you guys
1,4376358120,i wish i was a millionair...,i wish i was a millionair.
2,4375958116,nope! it is just that i shut my eyes at 4:00 am that is why,nope it is just that i shut my eyes at am that is why
3,4375458111,"guessed, so sure, why not   And yes, they are very impressive!",guessed so sure why not And yes they are very impressive
4,4375858115, Where? Here? *Hugs*, Where Hugs
5,4376258119,hey how did it all go??  get rested this week!!,hey how did it all go get rested this week
6,4375658113,why never ask me along,why never ask me along
7,4375758114,"no, probably not. Mostly because that time of the year for me is really busy with school and other stuff.",no probably not. Mostly because that time of the year for me is really busy with school and other stuff.
8,4376058117,"Thanks a lot! we are working on a redesign though. Design is already finished, but lots of pages need to be done again.",Thanks a lot we are working on a redesign though. Design is already finished but lots of pages need to be done again.
9,4375558112,Mr D pull pao pao out of the hole ! smile ok  hugs xoxo,Mr D pull pao out of the hole smile ok hugs xo
