,id,text,sentiment_text
0,10391536, I thought we fought the Revolution against the quartering of troops in wartime #GOPDebate, I thought we fought the Revolution against the quartering of troops in wartime 
1,10351532,Not much fact checking of the #GOPDebate because we have just accepted that Republicans will lie about everything. #PostTruthSociety,Not much fact checking of the because we have just accepted that Republicans will lie about everything. 
2,10361533,"Fox News clearly have a hair, dress and complexion code for the presenters. As for #GOPDebate, talk about middle aged men in suits!....",Fox News clearly have a hair dress and complexion code for the presenters. As for talk about middle aged men in suits.
3,10381535, #GOPDebate Time:Trump 11:40Bush 8:48Kasich 6:52Rubio 6:49Carson 6:46Cruz 6:46Huckabee 6:42Christie 6:24Walker 5:45..., TimeTrump Bush Kasich Rubio Carson Cruz Huckabee Christie Walker 
4,10371534, From earlier tonight on FB from GOPDebate http://t.co/ilnovJU2a9, From earlier tonight on FB from GOPDebate 
5,10431540, Friendly reminder that a focus group is not a poll #GOPDebate  https://t.co/MheK8YWGLH, Friendly reminder that a focus group is not a poll 
6,10401537," Hillary got 19 mentions at the #GOPDebate and the middle class got 2. Really, what would they talk about if not her?", Hillary got mentions at the and the middle class got Really what would they talk about if not her
7,10341531, Hey  why was not #DeflateGate a bigger talking point last night? Makes me think the whole debate was a sham. #GOPDeba..., Hey why was not a bigger talking point last night Makes me think the whole debate was a sham. .
8,10421539, I can think of at least 1 person shld've replaces. Was even on the #GOPDebate stage? #tcot http://..., I can think of at least person shldve replaces. Was even on the stage 
9,10411538, Bruh    Pro-life Republicans be like #GOPDebate http://t.co/dgu7yJ9IeX, Bruh Prolife Republicans be like 
